"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Summary of Foreign Investment in Pakistan","31-Oct-2024","TS_GP_FI_SUMFIPK_M.FI00030","............i FDI in Pakistan","133.229533","Million USD","Normal","NA","30","Net Foreign Direct Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","31-Oct-2024","TS_GP_FI_SUMFIPK_M.FI00040","..................a FDI Inflow","240.410875","Million USD","Normal","NA","40","Total FDI Inflows in Pakistan"
"Summary of Foreign Investment in Pakistan","31-Oct-2024","TS_GP_FI_SUMFIPK_M.FI00050","..................b FDI Outflow","107.181342","Million USD","Normal","NA","50","Total FDI outflows from Pakistan"
"Summary of Foreign Investment in Pakistan","31-Oct-2024","TS_GP_FI_SUMFIPK_M.FI00060","............ii Private Portfolio Investment","-74.374467","Million USD","Normal","NA","60","Net Foreign Private Portfolio Investment"
"Summary of Foreign Investment in Pakistan","31-Oct-2024","TS_GP_FI_SUMFIPK_M.FI00070","..................a Equity Securities","-74.374467","Million USD","Normal","NA","70","Private Portfolio Investment Equity Securities"
"Summary of Foreign Investment in Pakistan","31-Oct-2024","TS_GP_FI_SUMFIPK_M.FI00080","..................b Debt Securities","0","Million USD","Normal","NA","80","Private Portfolio Investment Debt Securities"
"Summary of Foreign Investment in Pakistan","31-Oct-2024","TS_GP_FI_SUMFIPK_M.FI00090","......II Foreign Public Investment","127.6630322","Million USD","Normal","NA","90","Net Foreign Public Portfolio Investment"
"Summary of Foreign Investment in Pakistan","31-Oct-2024","TS_GP_FI_SUMFIPK_M.FI00100","............i Portfolio Investment","127.6630322","Million USD","Normal","NA","100","Net Foreign Public Portfolio Investment"
"Summary of Foreign Investment in Pakistan","31-Oct-2024","TS_GP_FI_SUMFIPK_M.FI00110","..................a Equity Securities","0","Million USD","Normal","NA","110","Net Foreign Public Portfolio Investment in Equity Securities"
"Summary of Foreign Investment in Pakistan","31-Oct-2024","TS_GP_FI_SUMFIPK_M.FI00120","..................b Debt Securities","127.6630322","Million USD","Normal","NA","120","Net Foreign Public Portfolio Investment in Debt Securities"
"Summary of Foreign Investment in Pakistan","30-Sep-2024","TS_GP_FI_SUMFIPK_M.FI00010","1 Total Foreign Investment","414.615922","Million USD","Normal","NA","10","Net Total Foreign Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","30-Sep-2024","TS_GP_FI_SUMFIPK_M.FI00020","......I Foreign Private Investment","337.599699","Million USD","Normal","NA","20","Net Foreign Private Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","30-Sep-2024","TS_GP_FI_SUMFIPK_M.FI00030","............i FDI in Pakistan","385.089935","Million USD","Normal","NA","30","Net Foreign Direct Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","30-Sep-2024","TS_GP_FI_SUMFIPK_M.FI00040","..................a FDI Inflow","493.511266","Million USD","Normal","NA","40","Total FDI Inflows in Pakistan"
"Summary of Foreign Investment in Pakistan","30-Sep-2024","TS_GP_FI_SUMFIPK_M.FI00050","..................b FDI Outflow","108.421331","Million USD","Normal","NA","50","Total FDI outflows from Pakistan"
"Summary of Foreign Investment in Pakistan","30-Sep-2024","TS_GP_FI_SUMFIPK_M.FI00060","............ii Private Portfolio Investment","-47.490236","Million USD","Normal","NA","60","Net Foreign Private Portfolio Investment"
"Summary of Foreign Investment in Pakistan","30-Sep-2024","TS_GP_FI_SUMFIPK_M.FI00070","..................a Equity Securities","-47.490236","Million USD","Normal","NA","70","Private Portfolio Investment Equity Securities"
"Summary of Foreign Investment in Pakistan","30-Sep-2024","TS_GP_FI_SUMFIPK_M.FI00080","..................b Debt Securities","0","Million USD","Normal","NA","80","Private Portfolio Investment Debt Securities"
"Summary of Foreign Investment in Pakistan","30-Sep-2024","TS_GP_FI_SUMFIPK_M.FI00090","......II Foreign Public Investment","77.016223","Million USD","Normal","NA","90","Net Foreign Public Portfolio Investment"
