"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Summary of Foreign Investment in Pakistan","31-Jul-2024","TS_GP_FI_SUMFIPK_M.FI00070","..................a Equity Securities","23.642388","Million USD","Normal","NA","70","Private Portfolio Investment Equity Securities"
"Summary of Foreign Investment in Pakistan","31-Jul-2024","TS_GP_FI_SUMFIPK_M.FI00080","..................b Debt Securities","0","Million USD","Normal","NA","80","Private Portfolio Investment Debt Securities"
"Summary of Foreign Investment in Pakistan","31-Jul-2024","TS_GP_FI_SUMFIPK_M.FI00090","......II Foreign Public Investment","145.0513426","Million USD","Normal","NA","90","Net Foreign Public Portfolio Investment"
"Summary of Foreign Investment in Pakistan","31-Jul-2024","TS_GP_FI_SUMFIPK_M.FI00100","............i Portfolio Investment","145.0513426","Million USD","Normal","NA","100","Net Foreign Public Portfolio Investment"
"Summary of Foreign Investment in Pakistan","31-Jul-2024","TS_GP_FI_SUMFIPK_M.FI00110","..................a Equity Securities","0","Million USD","Normal","NA","110","Net Foreign Public Portfolio Investment in Equity Securities"
"Summary of Foreign Investment in Pakistan","31-Jul-2024","TS_GP_FI_SUMFIPK_M.FI00120","..................b Debt Securities","145.0513426","Million USD","Normal","NA","120","Net Foreign Public Portfolio Investment in Debt Securities"
"Summary of Foreign Investment in Pakistan","30-Jun-2024","TS_GP_FI_SUMFIPK_M.FI00010","1 Total Foreign Investment","380.1867295","Million USD","Normal","NA","10","Net Total Foreign Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","30-Jun-2024","TS_GP_FI_SUMFIPK_M.FI00020","......I Foreign Private Investment","208.680971","Million USD","Normal","NA","20","Net Foreign Private Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","30-Jun-2024","TS_GP_FI_SUMFIPK_M.FI00030","............i FDI in Pakistan","204.509095","Million USD","Normal","NA","30","Net Foreign Direct Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","30-Jun-2024","TS_GP_FI_SUMFIPK_M.FI00040","..................a FDI Inflow","243.267382","Million USD","Normal","NA","40","Total FDI Inflows in Pakistan"
"Summary of Foreign Investment in Pakistan","30-Jun-2024","TS_GP_FI_SUMFIPK_M.FI00050","..................b FDI Outflow","38.758287","Million USD","Normal","NA","50","Total FDI outflows from Pakistan"
"Summary of Foreign Investment in Pakistan","30-Jun-2024","TS_GP_FI_SUMFIPK_M.FI00060","............ii Private Portfolio Investment","4.171876","Million USD","Normal","NA","60","Net Foreign Private Portfolio Investment"
"Summary of Foreign Investment in Pakistan","30-Jun-2024","TS_GP_FI_SUMFIPK_M.FI00070","..................a Equity Securities","4.171876","Million USD","Normal","NA","70","Private Portfolio Investment Equity Securities"
"Summary of Foreign Investment in Pakistan","30-Jun-2024","TS_GP_FI_SUMFIPK_M.FI00080","..................b Debt Securities","0","Million USD","Normal","NA","80","Private Portfolio Investment Debt Securities"
"Summary of Foreign Investment in Pakistan","30-Jun-2024","TS_GP_FI_SUMFIPK_M.FI00090","......II Foreign Public Investment","171.5057585","Million USD","Normal","NA","90","Net Foreign Public Portfolio Investment"
"Summary of Foreign Investment in Pakistan","30-Jun-2024","TS_GP_FI_SUMFIPK_M.FI00100","............i Portfolio Investment","171.5057585","Million USD","Normal","NA","100","Net Foreign Public Portfolio Investment"
"Summary of Foreign Investment in Pakistan","30-Jun-2024","TS_GP_FI_SUMFIPK_M.FI00110","..................a Equity Securities","0","Million USD","Normal","NA","110","Net Foreign Public Portfolio Investment in Equity Securities"
"Summary of Foreign Investment in Pakistan","30-Jun-2024","TS_GP_FI_SUMFIPK_M.FI00120","..................b Debt Securities","171.5057585","Million USD","Normal","NA","120","Net Foreign Public Portfolio Investment in Debt Securities"
"Summary of Foreign Investment in Pakistan","31-May-2024","TS_GP_FI_SUMFIPK_M.FI00010","1 Total Foreign Investment","544.7629293","Million USD","Normal","NA","10","Net Total Foreign Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","31-May-2024","TS_GP_FI_SUMFIPK_M.FI00020","......I Foreign Private Investment","339.842625","Million USD","Normal","NA","20","Net Foreign Private Investment in Pakistan"
